player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), pick, drtg,adrtg, dporpag, stops, bpm, obpm, dbpm, gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,,
Jalen Coleman-Lands,Kansas,B12,35,21,114.4,19.7,62,63.17,4.3,6.1,7.8,19.1,12,16,0.75,21,40,0.525,29,64,0.453,1.3,1.3,15.4,Sr,4-Jun,55,1.13732,123.259,4.6,2022,40204,all,92.8,0.64998251,8,12,13,28,0.6667,0.4643,0,0,,,101.751,96.6573,0.921831,46.9057,4.59329,4.7159,-0.122617,5.1797,8.7429,4.51187,0.667834,0.3143,0.4857,0.8,0.3714,0.2,0.1143,4.0286,Wing G,12.0335
K.J. Walton,Akron,MAC,4,5.9,90.9,20.3,58.8,59.77,5,9.4,0,28.4,6,10,0.6,10,17,0.588,0,0,0,0,2.5,58.8,Sr,3-Jun,1,0.548816,93.6928,3.7,2022,41728,all,74,1.14279591,6,6,4,11,1,0.3636,0,0,,,101.625,103.58,1.56835,12.4802,-8.46099,-5.45484,-3.00615,-0.218687,19.5,-1.31277,1.09408,1.1667,2,3.1667,1.3333,1.3333,0,7.3333,Wing G,0
Camron Justice,Western Kentucky,CUSA,28,76.5,105.7,23.5,53.5,57,0.5,11.1,18.4,17.7,70,87,0.805,66,135,0.489,73,193,0.378,0.2,2.5,26.5,Sr,3-Jun,5,2.8925,110.794,2,2022,42129,all,67.6,1.37144812,49,86,17,49,0.5698,0.3469,0,1,0,,103.757,103.501,2.71538,162.404,0.438885,2.45277,-2.01389,1.27963,32,1.97901,-0.69938,0.1333,3.2333,3.3667,3.2,1.6,0.0667,14.7333,Combo G,11.9529
Traci Carter,Hartford,AE,22,51.2,91.1,22.4,43.2,46.06,2.2,13.1,18.1,18.7,27,34,0.794,34,112,0.304,39,102,0.382,1.7,3.3,15.9,Sr,1-Jun,25,0.416009,89.3997,4.5,2022,42956,all,74.8,1.32607975,4,14,27,85,0.2857,0.3176,0,0,,,104.507,109.516,1.84235,128.326,-2.62852,-1.78184,-0.84668,-3.66318,29.9091,-3.21406,-0.449116,0.5455,3.3636,3.9091,2.7727,1.6364,0.4545,9.6364,Scoring PG,9.25142
Shaheed Medlock,DePaul,BE,4,0.6,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,5-Jun,55,-0.641594,-7.08019,0,2022,44197,all,,,,,,,,,,,,,103.088,111.865,0.107597,1.46511,-7.88496,-5.3667,-2.51826,-5.97768,2,-4.67607,-1.3016,0,0.5,0.5,0,0,0,0,PF/C,0
Jeriah Horne,Tulsa,Amer,31,84.8,109,23.6,53,57.26,4.2,19.9,10.2,14.6,93,111,0.838,104,224,0.464,66,159,0.415,2.6,2.3,29,Sr,7-Jun,41,3.78716,117.56,2.1,2022,44216,all,65,0.77049349,45,80,59,144,0.5625,0.4097,4,6,0.6667,,100.812,99.3431,3.29703,216.159,4.4654,3.05797,1.40743,5.34555,33.9032,4.76622,0.579333,1.1935,5.7097,6.9032,1.5161,1.2903,0.6774,16.0968,Wing F,8.97373
Eric Curry,Minnesota,B10,26,59.6,92.2,20.2,41.5,44.99,4.7,19.9,13.8,13.4,35,49,0.714,81,187,0.433,1,12,0.083,2.8,2,24.6,Sr,9-Jun,1,1.05851,96.4746,3.7,2022,44217,all,77.4,1.56247964,28,47,53,140,0.5957,0.3786,0,2,0,,101.693,97.2225,2.8732,140.906,0.543947,-1.88551,2.42946,0.386873,27.7308,-1.27982,1.66669,1.1154,4.6538,5.7692,1.9231,0.8846,0.7308,7.6923,PF/C,1.01463
James Butler,Drexel,CAA,24,45.3,116.6,19.2,54.9,56.64,10.3,30,6.4,9.6,35,56,0.625,69,128,0.539,6,14,0.429,0.8,0.8,39.4,Sr,8-Jun,51,2.09019,113.898,4.1,2022,44288,all,,1.31249999,48,71,21,57,0.6761,0.3684,3,3,1,,99.5533,98.9297,2.08353,103.92,-0.28467,0.331442,-0.616112,1.80488,21.36,1.87448,-0.0695954,1.88,5.36,7.24,0.84,0.28,0.16,8.28,PF/C,1.61413
Jailyn Ingram,Georgia,SEC,9,19.1,96.7,22.2,53.4,58.18,4,21.7,17.3,26.3,18,20,0.9,30,50,0.6,6,23,0.261,0.9,1.6,27.4,Sr,7-Jun,0,1.6192,102.51,4.1,2022,44344,all,,0.75998988,21,31,9,19,0.6774,0.4737,1,1,1,,109.771,109.172,1.71884,47.7987,-0.0135942,0.28311,-0.296704,0.34092,27.2222,-0.142932,0.483852,0.8889,5.1111,6,2.1111,0.7778,0.2222,10.6667,Wing F,5.37395
Quentin Jackson Jr.,Loyola Marymount,WCC,9,3.4,83,12.6,43.8,44.69,0,7.1,0,12.4,1,2,0.5,2,6,0.333,1,2,0.5,0,1.6,25,Sr,3-Jun,10,-0.132305,76.3382,1.1,2022,44346,all,63.6,0,2,2,0,4,1,0,0,0,,,112.866,107.697,0.288206,5.49281,-8.21889,-4.14734,-4.07155,-5.5796,4,-2.61895,-2.96065,0.1,0.2,0.3,0,0.1,0,0.8,Wing G,3.0852
