rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Ohio St.,B10,34-3,124.93961129550323,1,90.2056101405412,10,0.9769325983601371,1,34,3,16,2,16-2,0.7087055853325891,0.4702772006443816,0.8505071227325484,0.7087055853325891,0.4702772006443816,0.8505071227325484,0.6706013177750114,0.850438368770071,108.37073772959593,97.85856083170536,108.37073772959593,97.85856083170536,127.49271123566746,92.99734275919383,132.291630176783,94.19832360235388,0.9802658626848023,18,0.04291242813664786,1341.0,1153.0,1131.1125,1.1855584656698606,1.0193504182828852,0,0.8888888888888888,11.96171158514306,1,80,65.17675549550194
2,Kansas,B12,35-3,119.72421471206374,4,89.55221354534831,6,0.965750844357789,2,35,3,14,2,14-2,0.691645516599398,0.5474034427554583,0.783600175082393,0.691645516599398,0.5474034427554583,0.783600175082393,0.7210161257221089,0.8136985680899504,107.30955238523059,98.67932147749602,107.30955238523059,98.67932147749602,123.20366756740853,92.56521610396636,131.20266128705205,95.46928736314949,0.9748222253625681,10,0.048550553036123434,1298.0,1105.0,1115.325,1.1637863403043955,0.9907426086566695,0,0.875,10.237241187730346,2,67,69.43421046581047
3,Duke,ACC,32-5,119.49719235591486,5,89.9266757931859,8,0.9633650562475766,3,32,5,13,3,13-3,0.7189795591068165,0.6225052751250063,0.7791425572764348,0.7189795591068165,0.6225052751250063,0.7791425572764348,0.6921069010068194,0.7773835156447326,106.80727915811008,96.67480363994505,106.80727915811008,96.67480363994505,114.43105489133539,89.09608545529156,123.75896437359934,97.05966433442703,0.9423841046077198,16,0.01734246800974326,1189.0,1018.0,1093.375,1.0874585572196183,0.9310620784268893,0,0.8125,9.461870808756064,3,125,69.92405120834395
4,Texas,B12,28-8,114.28971986922102,20,88.46043656582258,2,0.9500780816849534,4,28,8,13,3,13-3,0.6735162469764361,0.5549615225048472,0.7428941295305664,0.6735162469764361,0.5549615225048472,0.7428941295305664,0.7072539260843399,0.7519215651479937,106.66759506380689,97.95753354355936,106.66759506380689,97.95753354355936,115.11773148042772,84.70143088626166,127.93326283489733,103.07490156335489,0.9230556742215192,12,-0.032944684773991484,1153.0,944.0,1050.8249999999998,1.0972331263531037,0.8983417790783433,0,0.8125,5.446153515898493,13,250,66.9207541331888
5,Kentucky,SEC,29-9,118.15980477885282,7,91.81119484930534,22,0.9479201967221752,5,29,9,10,6,10-6,0.7170536867737007,0.6073143919369547,0.7348341398073681,0.7170536867737007,0.6073143919369547,0.7348341398073681,0.6537842540121597,0.7123366539905349,107.84775856368063,96.8073029605685,107.84775856368063,96.8073029605685,117.06962374164516,93.79705149722452,123.78871372218369,96.42666529398291,0.9464764471216441,17,-0.0014475554036710303,1175.0,1051.0,1062.7250000000001,1.1056482156719751,0.9889670422734008,0,0.625,5.216684083168175,15,166,66.27139411956149
6,Pittsburgh,BE,28-6,118.64425169309314,6,92.48500560325363,26,0.9460610652737154,6,28,6,15,3,15-3,0.6901481154441683,0.49297767528861536,0.8211223851053645,0.6901481154441683,0.49297767528861536,0.8211223851053645,0.6952791373803668,0.8347253961432307,106.80749210864084,97.6465410469501,106.80749210864084,97.6465410469501,117.78477630304795,89.48326607383072,129.88749004790589,98.64792195456157,0.9594483355451238,14,0.02794867288084124,1247.0,1081.0,1122.825,1.1105915881815955,0.9627502059537327,0,0.8333333333333334,7.645548298389389,6,110,63.58590896156561
7,Wisconsin,B10,25-9,122.12561902536586,2,96.16887595334452,62,0.9397924163688822,7,25,9,13,5,13-5,0.7290098395005933,0.4810986949035713,0.862494105613128,0.7290098395005933,0.4810986949035713,0.862494105613128,0.6302209068630678,0.795663417957977,109.15066608783052,97.41126467756368,109.15066608783052,97.41126467756368,127.92103276660603,98.98370246153588,125.90842006372293,100.62793173414946,0.9293952637849712,18,0.014450171984271787,1223.0,1123.0,1027.3999999999999,1.1903834923106873,1.0930504185322174,0,0.7222222222222222,5.882937101683323,12,129,57.92547216717484
8,Notre Dame,BE,27-7,122.05233084806322,3,96.52834208704303,70,0.9369116065890232,8,27,7,14,4,14-4,0.7114421677278396,0.4935394279529239,0.8311372579005423,0.7114421677278396,0.4935394279529239,0.8311372579005423,0.6594790799194143,0.7969982857857202,107.17193666695977,97.1671510760121,107.17193666695977,97.1671510760121,122.40344399704082,96.69223265652663,136.5455476052536,110.39492858406415,0.9201826671859068,16,0.05442524709616969,1290.0,1204.0,1136.8625000000002,1.134701865880878,1.059055074822153,0,0.7777777777777778,7.805129007652129,5,56,64.48304556450009
9,Purdue,B10,26-8,114.27104737766726,21,90.51754879820388,12,0.9358264659989323,9,26,8,14,4,14-4,0.7318430690360098,0.5629023677056468,0.8520176203183156,0.7318430690360098,0.5629023677056468,0.8520176203183156,0.6527717852909649,0.7854769460011776,108.06709871251083,96.79955826497216,108.06709871251083,96.79955826497216,119.17088909006627,90.62553216197773,112.92172073053288,89.71605002353762,0.9337342888808063,14,0.03505813423644866,1305.0,1158.0,1166.35,1.1188751232477387,0.9928409139623613,0,0.7777777777777778,7.216264186819117,8,95,67.0363292448918
10,San Diego St.,MWC,32-3,112.4705714758997,30,89.49828770826852,5,0.9326061513457894,10,32,3,14,2,14-2,0.6701322005934983,0.6107834504868787,0.6735197908312756,0.6701322005934983,0.6107834504868787,0.6735197908312756,0.7400136242731781,0.7968488544625306,106.28741601728576,98.40171528590213,106.28741601728576,98.40171528590213,111.06254394932172,88.93903449605189,126.70063957559431,99.62948617154804,0.9407127266102057,11,0.11245795906631795,1121.0,947.0,1033.6499999999999,1.0845063609539014,0.9161708508682824,0,0.875,8.664520926450411,4,11,63.5944284812858
